TeamIdentifier,id_col,dataset,ConclusionS1,Conclusion
Booligal,Bulli-1-1-2,eucalyptus,"How does grass cover influence Eucalypt spp. seedlings recruitment?

If we look across different properties, there is limited evidence that properties grass cover affects seedling recruitment after controlling for difference in total annual precipitation among properties. Specifically, properties with high grass cover (total grass, native grass or exotic grass) do not have higher (or lower) average Eucalypt seedlings recruitment. 

There is some evidence that properties with total grass cover and exotic grass cover reduce the upper boundary of Eucalypt seedling recruitment. Therefore, properties with high total grass cover and exotic grass cover have low Eucalypt seedling recruitment whilst properties with lower total grass cover and exotic grass cover show a range of high and low Eucalypt seedling recruitment I could not separate the effects of other confounding variables.

However, I did find evidence that, within properties with high total annual precipitation, plots with Eucalypt seedlings had lower grass cover than plots with Eucalypt seedlings. This is consistent with a negative effect of grass cover on seedlings recruitment. This was not the case at drier sites where the effect might be opposite. I could not separate this effect from other confounding variables though.

In conclusion, across properties, grass cover might limit the potential for high Eucalypt seedling recruitment. Moreover, at high rainfall, grass cover may reduce Eucalypt seedling recruitment within properties but the opposite might the case at low rainfall. Therefore, whilst I did find some evidence that grass cover affects Eucalypt seedling recruitment, on the basis of these data, I would not make a firm conclusion about it.",neg_q
Bothwell,Bulli-1-2-2,eucalyptus,"Grass cover does not appear to significantly influence seedling recruitment, once accounting for the other important variables that influence recruitment. The model coefficient is small not significantly different to zero, and the parameter does not significantly improve overall model fit.",none_q
Bothwell,Bulli-1-1-1,eucalyptus,"Grass cover does not appear to significantly influence seedling recruitment, once accounting for the other important variables that influence recruitment. The model coefficient is small not significantly different to zero, and the parameter does not significantly improve overall model fit.",none_q
Boydtown,Bulli-1-2-1,eucalyptus,"The influence of grass cover on Eucalyptus spp. seedling recruitment appears to be dependent on the size of the Eucalypt seedling. The number of smaller seedlings is negatively associated with native perennial grass cover, but positively associated with exotic annual grass cover. Medium sized eucalypt seedlings are negatively associated with exotic perennial grass cover. Large sized eucalypts are negatively associated with exotic annual grass cover. Therefore, establishment of smaller seedlings may be limited by the presence or cover of perennial grasses as these grasses are always present year round, leaving little room for establishment. Then, once eucalypt seedlings are more established, they may be outcompeted by exotic annual grasses",neg_q
Boydtown,Aberdeen-1-1-1,eucalyptus,"The influence of grass cover on Eucalyptus spp. seedling recruitment appears to be dependent on the size of the Eucalypt seedling. The number of smaller seedlings is negatively associated with native perennial grass cover, but positively associated with exotic annual grass cover. Medium sized eucalypt seedlings are negatively associated with exotic perennial grass cover. Large sized eucalypts are negatively associated with exotic annual grass cover. Therefore, establishment of smaller seedlings may be limited by the presence or cover of perennial grasses as these grasses are always present year round, leaving little room for establishment. Then, once eucalypt seedlings are more established, they may be outcompeted by exotic annual grasses",neg_q
Boydtown,Andamook-3-3-1,eucalyptus,"The influence of grass cover on Eucalyptus spp. seedling recruitment appears to be dependent on the size of the Eucalypt seedling. The number of smaller seedlings is negatively associated with native perennial grass cover, but positively associated with exotic annual grass cover. Medium sized eucalypt seedlings are negatively associated with exotic perennial grass cover. Large sized eucalypts are negatively associated with exotic annual grass cover. Therefore, establishment of smaller seedlings may be limited by the presence or cover of perennial grasses as these grasses are always present year round, leaving little room for establishment. Then, once eucalypt seedlings are more established, they may be outcompeted by exotic annual grasses",neg_q
Byrock,Andamook-1-1-1,eucalyptus,"Only the relationship between total grass cover and counts of Eucalyptus spp. seedlings greater than 2m was statistically significant at ÃƒÅ½Ã‚Â± = 0.05. That relationship can also be interpreted as 1.92 (1.196 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 3.939, 95% CL) times as many Eucalyptus spp. seedlings greater than 2m tall for every 10% decrease in total grass cover (p = 0.028). The combination of relatively large effect size and statistical significance suggests possible biological significance.",neg_q
Byrock,Andamook-4-4-1,eucalyptus,"Only the relationship between total grass cover and counts of Eucalyptus spp. seedlings greater than 2m was statistically significant at ÃƒÅ½Ã‚Â± = 0.05. That relationship can also be interpreted as 1.92 (1.196 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 3.939, 95% CL) times as many Eucalyptus spp. seedlings greater than 2m tall for every 10% decrease in total grass cover (p = 0.028). The combination of relatively large effect size and statistical significance suggests possible biological significance.",neg_q
Byrock,Andamook-2-2-1,eucalyptus,"Only the relationship between total grass cover and counts of Eucalyptus spp. seedlings greater than 2m was statistically significant at ÃƒÅ½Ã‚Â± = 0.05. That relationship can also be interpreted as 1.92 (1.196 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 3.939, 95% CL) times as many Eucalyptus spp. seedlings greater than 2m tall for every 10% decrease in total grass cover (p = 0.028). The combination of relatively large effect size and statistical significance suggests possible biological significance.",neg_q
Branxton,Cedun-1-1-1,eucalyptus,NA,neg_q
Branxton,Albury-2-2-1,eucalyptus,NA,NA
Bridport,Albury-1-1-1,eucalyptus,"The amount of native grass and grass like plant cover has a weak positive effect on whether eucalyptus seedlings establish, whereas both the amount of native and exotic grass cover have negative effects on the number of seedlings. Effects on the number of seedlings were stronger than on seedling presence; however, these effects were still deemed weak due to high levels of uncertainty, which is most likely related to the limited sample size of quadrats with >0 counts. Due to these high levels of uncertainty, evidence is not conclusive, but results suggest that grasses compete with or otherwise inhibit eucalyptus seedlings where seedlings are present, but native grasses may benefit the occurrence of seedlings. Seedlings were more likely to be present closer to existing canopy, suggesting that close to source populations, passive eucalyptus restoration may be a possibility, but again, evidence in favor of this statement was fairly weak.",mixed
Brighton,Byrock-1-3-1,eucalyptus,"Grass cover does not influence grass cover. However, other vegetation types such as herbs seem to influence on seedling recruitment.",none_c
Brighton,Byrock-5-7-1,eucalyptus,"Grass cover does not influence grass cover. However, other vegetation types such as herbs seem to influence on seedling recruitment.",none_c
Brighton,Byrock-4-6-1,eucalyptus,"Grass cover does not influence grass cover. However, other vegetation types such as herbs seem to influence on seedling recruitment.",none_c
Brooklyn,Byrock-2-4-1,eucalyptus,"A significant negative effect of grass cover on seedlings recruitment densities was detected only in winter 2006 season suggesting land manager to allocate all efforts to restoring these ecosystems in the winter season. For example, incorporate appropriate weed management in winter season to increase recruitment of Eucalyptus spp. seedlings.",neg_q
Brooklyn,Byrock-3-5-1,eucalyptus,"A significant negative effect of grass cover on seedlings recruitment densities was detected only in winter 2006 season suggesting land manager to allocate all efforts to restoring these ecosystems in the winter season. For example, incorporate appropriate weed management in winter season to increase recruitment of Eucalyptus spp. seedlings.",neg_q
Brooklyn,Aldgat-2-2-1,eucalyptus,"A significant negative effect of grass cover on seedlings recruitment densities was detected only in winter 2006 season suggesting land manager to allocate all efforts to restoring these ecosystems in the winter season. For example, incorporate appropriate weed management in winter season to increase recruitment of Eucalyptus spp. seedlings.",neg_q
Buckland,Aldgat-1-1-1,eucalyptus,"The number of Eucalyptus seedlings per quadrat, regardless of size, was not influenced by the percent cover of exotic and native grasses and graminoids. Instead, Eucalyptus seedling count was driven by distance from existing Eucalyptus canopy and negatively affected by ground litter cover. the greatest number of seedlings were found within 10m of the canopy edge. As grasses contribute to vegetative litter, we cannot rule out that there is an indirect affect of grass cover on seedling recruitment. However, in this case the data suggests that it is unlikely a negative direct effect of competitive exclusion for space or soil nutrients, or shading out of Eucalyptus seedlings by dense grasses/graminoids. In fact, the presence of grasses may indirectly benefit Eucalyptus recruitment by creating vegetative litter that buffers germinating seedlings from the harsh climate and makes growing conditions more suitable by helping retain soil moisture.  On the other hand, if litter is too dense it could reduce the success of seedling germination and growth.",none_q
Bundarra,Anglesea-1-1-1,eucalyptus,"Grass cover has no effect on Eucalyptus recruitment. Exotic perennial herb cover, landscape position (toe of slope) and thorium concentrations seem to be the variables driving seedling recruitment in the studied landscapes.",none_c
Bundeena,Anglesea-2-2-1,eucalyptus,Seedlings from 50 cm to 2 meters were negatively influenced only by Exotic Perennial Grass.,neg_c
Bungonia,Ardrossa-1-1-1,eucalyptus,Grass cover does not influence the recruitment of Eucalyptus seedlings,none_c
Bungonia,Arkarool-1-1-1,eucalyptus,Grass cover does not influence the recruitment of Eucalyptus seedlings,none_c
Busselto,Alding-1-1-1,eucalyptus,"Eucalyptus seedling recruitment was significantly negatively correlated with exotic annual grass cover (P<0.001) and native perennial grass cover (P=0.004), with exotic annual grass having a larger effect. Exotic perennial grass cover had a marginally nonsignificant (P=0.075) positive association with seedlings. 

Grass cover generally negatively impacts Eucalyptus seedling recruitment, although there is a slight positive association with exotic perennial grass cover.",mixed
Calliope,Allora-1-1-1,eucalyptus,No effect of exotic perennial grass cover on seedlings <50cm,none_c
Calliope,Armidale-1-1-1,eucalyptus,weak effect of exotic perennial grass cover on the number of seedlings between 50-200 cm tall,neg_c
Canberra,Atherton-3-3-1,eucalyptus,"The results of the analyses do not suggest an association between seedling recruitment and grass cover, irrespective of the grasses geographic origin.",none_c
Capertee,Atherton-1-1-1,eucalyptus,"Overall, the association between seedling recruitment and grass cover was weak and other factors are indicated to be more important for Eucalyptus seedling recruitment. For the initial seedling recruitment (size seedlings 0 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 0.5 m) no statistical clear association with either exotic or annual grass cover was found",none_q
Capertee,Atherton-2-2-1,eucalyptus,"Overall, the association between seedling recruitment and grass cover was weak and other factors are indicated to be more important for Eucalyptus seedling recruitment.  later seedling recruitment (size seedlings 0.5 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 2 m) exotic grass cover showed a statistical clear association with decreasing number of seedlings. However, the estimated effects were smaller than for all other statistical clear association found, except distance to Eucalyputs spp. canopy. 
The semi-explorative results of other included predictors show that for initial seedling recruitment, the only statistical clear effect was negative association with distance to Eucalyptus spp. canopy, suggesting that at this stage seedling recruitment is largely depend on seed sources rather than other factors. At later seedling recruitment distance to Eucalyptus spp. canopy still shows an negative association, but other abiotic and biotic factors are indicated to become increasingly important such as soil conditions (thorium), litter cover and competition with exotic species (exotic herb and grass cover). 
",neg_q
Cardwell,Bell-3-8-1,eucalyptus,There was little evidence to suggest the presence or abundance of Eucalyptus spp. seedlings was influenced by exotic or native grass cover.,none_c
Carnarvo,Bell-2-7-1,eucalyptus,Grass cover does not significantly influence Eucalyptus spp. seedling recruitment,none_c
Carrieto,Bell-1-6-1,eucalyptus,NA,NA
Bundeena,Anakie-2-1-1,eucalyptus,"The smallest seedlings were negatively influenced by Native Perennial Grass; Native Perennial Graminoid and Exotic Perennial Grass, these seedlings were also positively influenced by Exotic Annual Grass.",mixed
Bundeena,Aramac-1-1-1,eucalyptus,"The smallest seedlings were negatively influenced by Native Perennial Grass; Native Perennial Graminoid and Exotic Perennial Grass, these seedlings were also positively influenced by Exotic Annual Grass.",mixed
Bundeena,Aramac-1-1-2,eucalyptus,"The smallest seedlings were negatively influenced by Native Perennial Grass; Native Perennial Graminoid and Exotic Perennial Grass, these seedlings were also positively influenced by Exotic Annual Grass.",mixed
Bundeena,Balaklav-1-1-1,eucalyptus,"The smallest seedlings were negatively influenced by Native Perennial Grass; Native Perennial Graminoid and Exotic Perennial Grass, these seedlings were also positively influenced by Exotic Annual Grass.",mixed
Bundeena,Ballarat-1-1-1,eucalyptus,NA,mixed
Cassilis,Balmoral-1-1-1,eucalyptus,"when Eucalyptus seedlings were present, their abundance increased with cover of exotic perennial grass species",pos_q
Cervante,Ararat-2-2-1,eucalyptus,"There was limited evidence that grass cover, both native or exotic, had any influence on eucalyptus seedling recruitment.",none_q
Cessnock,Ararat-3-3-1,eucalyptus,There is no evidence that grass cover has any influence on eucalyptus seedling recruitment.,none_c
Charlton,Ararat-1-1-1,eucalyptus,"We did not detect a significant association between grass cover and seedling counts, but we are uncomfortable drawing strong biological conclusions from this study without further information, including a clearer understanding of what the treatments were, the mechanisms driving seedling recruitment, the mechanisms driving grassland responses to management, and timing of management actions relative to data collection. We suspect the Properties likely differed in terms of their initial grass and other community compositions prior to being managed for eucalypt seedling recruitment. To estimate a causal effect (Ã¢â‚¬Å“influence of grass cover on Eucalyptus spp seedling recruitmentÃ¢â‚¬Â) we would prefer to conduct a randomized experiment. Alternatively, we could attempt to use causal inference techniques that rely on an assumed causal network, but constructing an appropriate causal network would require a better understanding of the ecological system (relationships between predictor variables as well as their direct and indirect effects on seedling recruitment).",none_q
Childers,Ararat-1-1-2,eucalyptus,I conclude that grass cover of any type has little effect on 0 - 50 cm Eucalyptus spp. seedling recruitment,none_q
Childers,August-2-2-1,eucalyptus,native perennial grass cover has a positive effect on 50 cm - 2 m Eucalyptus spp. seedling recruitment.,pos_c
Chiltern,August-1-1-1,eucalyptus,"Three properties showed a positive relationship between grass cover and recruitment. In other words, higher grass cover was correlated with greater recruitment of seedlings across these three properties. However, the other 11 properties showed no directional relationship (95% confidence intervals all crossing zero), nor did the averaged estimate. Therefore, overall, we can conclude that there is weak to no evidence that grass cover has a measurable effect on eucalyptus recruitment across these properties in the Goulburn Broken Catchment, Australia.",none_q
Ayr,Avenel-1-2-1,blue tit,"Chicks reared in clutches of 5-6 were the biggest in weight, tarsus length, and overall growth. Although sibling competition affected chick growth, this effect was outweighed by the random effects of each model, illustrating the importance of parental, geographical, and weather-related influences.",NA
Ayr,Avenel-2-1-1,blue tit,"Chicks reared in clutches of 5-6 were the biggest in weight, tarsus length, and overall growth. Although sibling competition affected chick growth, this effect was outweighed by the random effects of each model, illustrating the importance of parental, geographical, and weather-related influences.",NA
Ayr,Avenel-2-1-2,blue tit,"Chicks reared in clutches of 5-6 were the biggest in weight, tarsus length, and overall growth. Although sibling competition affected chick growth, this effect was outweighed by the random effects of each model, illustrating the importance of parental, geographical, and weather-related influences.",NA
Bega,Bamaga-1-1-1,blue tit,"Nestlings in enlarged broods on average had shorter tarsi compared to control broods, but not significantly so, while they had significantly shorter tarsi compared to nestlings in reduced broods (Table 1, Figure 1B, 1D). Nestlings in reduced broods did not have significantly longer tarsi than control nestlings (Table 1, Figure 1B, 1D). Mean tarsus length per nest was significantly lower for larger experimental broods and for broods in which more nestlings died. The laying date did not affect mean tarsus length significantly.",neg_q
Bega,Bangalow-1-1-1,blue tit,"Nestlings in enlarged broods on average had shorter tarsi compared to control broods, but not significantly so, while they had significantly shorter tarsi compared to nestlings in reduced broods (Table 1, Figure 1B, 1D). Nestlings in reduced broods did not have significantly longer tarsi than control nestlings (Table 1, Figure 1B, 1D). Mean tarsus length per nest was significantly lower for larger experimental broods and for broods in which more nestlings died. The laying date did not affect mean tarsus length significantly.",neg_q
Bega,Bangalow-2-2-1,blue tit,"We found mean weight per brood to be significantly lower in the enlarged broods compared to the control and reduced broods, while nestlings in reduced broods were not significantly heavier than nestlings in control broods (Table 1, Figure 1A, 1C). Mean weight was significantly lower for larger experimental brood sizes, broods that were laid later in the year, and nests in which a higher number of nestlings died.",neg_q
Bega,Bangalow-3-3-1,blue tit,"We found mean weight per brood to be significantly lower in the enlarged broods compared to the control and reduced broods, while nestlings in reduced broods were not significantly heavier than nestlings in control broods (Table 1, Figure 1A, 1C). Mean weight was significantly lower for larger experimental brood sizes, broods that were laid later in the year, and nests in which a higher number of nestlings died.",neg_q
Bell,Bangalow-4-4-1,blue tit,"Specifically, tarsus length was negatively influenced by brood size increases, and positively related to brood size decreases. The net change in brood size was also negatively related to tarsus length, indicating that broods with larger increases in the number of nestlings also had smaller nestlings.",neg_c
Bell,Barham-1-1-1,blue tit,"Specifically, tarsus length was negatively influenced by brood size increases, and positively related to brood size decreases. The net change in brood size was also negatively related to tarsus length, indicating that broods with larger increases in the number of nestlings also had smaller nestlings.",neg_c
Bell,Barham-2-2-1,blue tit,"Specifically, tarsus length was negatively influenced by brood size increases, and positively related to brood size decreases. The net change in brood size was also negatively related to tarsus length, indicating that broods with larger increases in the number of nestlings also had smaller nestlings.",neg_c
Bell,Barellan-1-1-1,blue tit,"Specifically, tarsus length was negatively influenced by brood size increases, and positively related to brood size decreases. The net change in brood size was also negatively related to tarsus length, indicating that broods with larger increases in the number of nestlings also had smaller nestlings.",neg_c
Bell,Barmah-1-1-1,blue tit,"Specifically, tarsus length was negatively influenced by brood size increases, and positively related to brood size decreases. The net change in brood size was also negatively related to tarsus length, indicating that broods with larger increases in the number of nestlings also had smaller nestlings.",neg_c
Bell,Barmer-1-1-1,blue tit,"Specifically, tarsus length was negatively influenced by brood size increases, and positively related to brood size decreases. The net change in brood size was also negatively related to tarsus length, indicating that broods with larger increases in the number of nestlings also had smaller nestlings.",neg_c
Bell,Batchelo-1-1-1,blue tit,"Body mass showed similar relationships. Body mass was lower in broods with increased size, and was negatively related to the net change in brood size.  Additionally, body mass was negatively related to the brood size at day 14 when mass was measured.",neg_c
Bell,Batchelo-2-2-1,blue tit,"Body mass showed similar relationships. Body mass was lower in broods with increased size, and was negatively related to the net change in brood size.  Additionally, body mass was negatively related to the brood size at day 14 when mass was measured.",neg_c
Berr,Batlow-1-1-1,blue tit,"Nestling weight at 14 days of age, on average, is negatively affected when additional competitors are added to the nest (by 0.37g per added nestling), but there is no beneficial effect of reducing a brood size.",neg_q
Brim,Batlow-1-1-2,blue tit,"The more offspring there are within a nest, the more competition for food exists, and therefore the greater the difference in sizes between birds within the nest box. Standard deviation and range both increase significantly as number of nestlings increases.",neg_c
Bruc,Batlow-1-1-3,blue tit,"From my analysis, it appears that sibling competition affect growth  of nestling blue tits a scaled body mass decreased with increasing brood size. However, it not the only factor that influence growth as the date at which the individuals were measured influenced body mass with lower body mass later in the breeding season compare to the beginning. This relationship differed between years. It suggests that environmental conditions likely through their impact on food resources also influenced growth.",neg_q
Burr,Baxter-2-2-1,blue tit,Tarsus length also decreased somewhat with increasing clutch size,neg_c
Burr,Baxter-1-1-1,blue tit,Tarsus length also decreased somewhat with increasing clutch size,neg_c
Burr,Beltan-2-2-1,blue tit,Weight also decreased with increasing clutch size (Figure 2C) and with laying date,neg_c
Burr,Beltan-1-1-1,blue tit,Weight also decreased with increasing clutch size (Figure 2C) and with laying date,neg_c
Byng,Bethan-1-1-1,blue tit,"Data from this experiment show that experimentally increasing or reducing brood size by approximately one quarter by moving chicks between nests caused higher mortality in increased broods to about 18%, compared to about 7% in decreased broods. Surviving chicks on day 14 in increased broods had lower body weight by about 1 g and shorter tarsometatarsal bones by about 0.4 mm compared to those in decreased broods. This shows that competition with siblings can have large effects on growth of nestling blue tits.",neg_c
Cape,Beulah-1-1-1,blue tit,NA,neg_c
Cape,Bilpin-1-1-1,blue tit,NA,NA
Clar,Bathurst-1-1-1,blue tit,"For both measures of chick size, the magnitude of difference between the two treatments significantly improved models of the difference in chick size (tarsus length: ÃŽÂ§2 = 7.5, df = 1, p-value = 0.006; weight: ÃŽÂ§2 = 13.2, df = 1, p-value < 0.001). Also, in line with the expectation that manipulations that do not change the number of siblings will not affect chick size, the addition of a non-zero y-intercept did not improve model fits (tarsus length: ÃŽÂ§2 = 0.81, df = 1, p-value = 0.37; weight: ÃŽÂ§2 = 0.05, df = 1, p-value =0.82). According to the final models, for every additional sibling in a nest, chicks had 0.04 mm (SE = 0.015 mm) shorter tarsi and were 0.14 g (SE = 0.034 g) lighter (Table 1, Figure 1).",neg_c
Clar,Bindoo-1-1-1,blue tit,"For both measures of chick size, the magnitude of difference between the two treatments significantly improved models of the difference in chick size (tarsus length: ÃŽÂ§2 = 7.5, df = 1, p-value = 0.006; weight: ÃŽÂ§2 = 13.2, df = 1, p-value < 0.001). Also, in line with the expectation that manipulations that do not change the number of siblings will not affect chick size, the addition of a non-zero y-intercept did not improve model fits (tarsus length: ÃŽÂ§2 = 0.81, df = 1, p-value = 0.37; weight: ÃŽÂ§2 = 0.05, df = 1, p-value =0.82). According to the final models, for every additional sibling in a nest, chicks had 0.04 mm (SE = 0.015 mm) shorter tarsi and were 0.14 g (SE = 0.034 g) lighter (Table 1, Figure 1).",neg_c
Clev,Beachpor-1-1-1,blue tit,"Enlarging broods led to worse outcomes both for individual nestlings and for reproductive success of parents. 
Nestlings in enlarged broods tended to be smaller in mass and skeletal size (tarsus length). Mass and tarsus length were both significantly negatively associated with brood size. Parents of enlarged broods also fledged a smaller proportion of their broods compared to controls. On the other hand, nestlings in reduced  broods were not larger compared to controls, although they did seem more likely to survive to the next year, suggesting that they did receive more or better care from their parents. Parents of enlarged broods seemed unable or unwilling to increase care, which likely resulted in poorer quality nestlings and lower fledging success. 

The variance in quality among nestlings in the enlarged brood was likewise larger compared to controls, consistent with the hypothesis that parents of enlarged broods struggled to care for all nestlings equally. It is difficult to determine, however, whether these results demonstrate that nestlings are competing within the brood. Although having more siblings tended to reduce a nestling's condition and likelihood of fledging, that does not necessarily
mean that nestlings were directly competing with one another. Parents may have limited their investment in enlarged broods according to their own condition and/or opportunuties for future reproduction, leading to poorer quality broods, independent of interactions between individual nestmates. However, the fact that variance in quality was higher in reduced broods is consistent with the hypothesis that some nestlings in enlarged broods were still managing to grow and develop at the expense of their nestmates. 

Provisioning and begging data could help identify whether parents are feeding nestlings according to need or according to which nestling signals most vigorously. If parents feed the biggest and most active nestlings disproportionately, 
that would be a strong indication that dominant nestlings can outcompete siblings for food. 
",neg_q
Alban,Beachpor-1-1-2,blue tit,"Higher level of sibling competition, as in enlarged broods, reduced nestling body mass and tarsus length before fledging and also reduced fledging success.Nestling pre-fledging body mass in turn predicted the probability of recruitment in the next breeding season.",neg_c
Alban,Beachpor-1-1-3,blue tit,"Higher level of sibling competition, as in enlarged broods, reduced nestling body mass and tarsus length before fledging and also reduced fledging success.",neg_c
Alban,Beachpor-2-2-1,blue tit,"Higher level of sibling competition, as in enlarged broods, reduced nestling body mass and tarsus length before fledging and also reduced fledging success.",neg_c
Alban,Beachpor-2-2-2,blue tit,"Higher level of sibling competition, as in enlarged broods, reduced nestling body mass and tarsus length before fledging and also reduced fledging success.",neg_c
Alpha,Beachpor-2-2-3,blue tit,"a) The experiment was poorly planned to answer the question

or 

b) The question can not be answered by the given data.",none_c
Appin,Beaufort-2-2-1,blue tit,No significant effect of sibling number of growth of nestlings,none_c
Appin,Beaufort-1-1-1,blue tit,No significant effect of sibling number of growth of nestlings,none_c
Appin,Belgrave-1-1-1,blue tit,No significant effect of sibling number of growth of nestlings,none_c
Appin,Bencubbi-1-1-1,blue tit,No significant effect of sibling number of growth of nestlings,none_c
Aubur,Blinma-1-1-1,blue tit,"The greatest effect on tarsus was the sex of the chick with males, on average, having 3% longer tarsus bones (Table 3). Nestling competition was the next most influential factor with each additional nestling reducing tarsus length by 0.04 mm.",neg_q
Aubur,Boonah-1-1-1,blue tit,"Chick mass was impacted by sibling competition (brood size), with each additional nestling/sibling in the rearing nest causing a mean reduction of 0.09 g in weight",neg_c
Aubur,Boulia-1-1-2,blue tit,"Chick mass was impacted by sibling competition (brood size), with each additional nestling/sibling in the rearing nest causing a mean reduction of 0.09 g in weight",neg_c
Avoca,Boulia-1-1-1,blue tit,"These results suggest that the growth of nestling blue tits is strongly influenced by the number of nestlings. These results also suggest, however, that competition with siblings is tempered by some additional factor, as increases in nest size beyond the unmanipulated state did not significantly reduce sibling growth.",neg_q
Bargo,Bermagui-1-3-1,blue tit,"Overall, our results showed that the more competition, the less nestlings grow. These results were particularly evident when focusing on nestlingsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ body mass rather than tarsus length, which is likely due to the larger lability (and lower heritability) of body mass compared to tarsus length.",neg_c
Bargo,Bermagui-1-3-2,blue tit,"Overall, our results showed that the more competition, the less nestlings grow. These results were particularly evident when focusing on nestlingsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ body mass rather than tarsus length, which is likely due to the larger lability (and lower heritability) of body mass compared to tarsus length.",neg_c
Bargo,Bermagui-1-3-3,blue tit,"Overall, our results showed that the more competition, the less nestlings grow. These results were particularly evident when focusing on nestlingsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ body mass rather than tarsus length, which is likely due to the larger lability (and lower heritability) of body mass compared to tarsus length.",neg_c
Bargo,Bermagui-1-1-1,blue tit,"Overall, our results showed that the more competition, the less nestlings grow. These results were particularly evident when focusing on nestlingsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ body mass rather than tarsus length, which is likely due to the larger lability (and lower heritability) of body mass compared to tarsus length.",neg_c
Berry,Bermagui-1-1-2,blue tit,Sibling competition significantly affects the growth of nestling blue tits.,neg_c
Binda,Bermagui-1-1-3,blue tit,"I found that nestling growth decreases when competition with siblings is experimentally increased. However, I did not find an increase in nestling growth when competition with siblings is experimentally decreased.",mixed
Binda,Bermagui-1-2-1,blue tit,"I found that nestling growth decreases when competition with siblings is experimentally increased. However, I did not find an increase in nestling growth when competition with siblings is experimentally decreased.",mixed
Binda,Bermagui-1-2-2,blue tit,"I found that nestling growth decreases when competition with siblings is experimentally increased. However, I did not find an increase in nestling growth when competition with siblings is experimentally decreased.",mixed
Binda,Bermagui-1-2-3,blue tit,"I found that nestling growth decreases when competition with siblings is experimentally increased. However, I did not find an increase in nestling growth when competition with siblings is experimentally decreased.",mixed
Borde,Berrigan-1-1-1,blue tit,"Competition with siblings has an overall negative effect on the growth of nestling blue tits. However, the large variance within and between chicks shows that there are many parental and rearing effects that influence the body mass and length of tarsus in the species.",neg_q
Bowen,Bourke-1-1-1,blue tit,"Overall, there was a trend for decreased body condition due to nest treatment (Table 5), however both increasing and decreasing the nest trended in the same direction.",neg_q
Bowen,Binalong-2-2-1,blue tit,"Overall, there was a trend for decreased body condition due to nest treatment (Table 5), however both increasing and decreasing the nest trended in the same direction.",neg_q
Bowen,Binalong-1-1-1,blue tit,"We found no impact of clutch manipulation on hatchling tarsus length at 14 days old (Table 1). We found that tarsus lengths were shorter in year 2003 compared to 2001 (Table 1). Offspring with extra-pair paternity, male offspring, and offspring reared in transplanted nests were associated with larger tarsus (Table 1). While offspring sex accounted for approximately 10% of tarsus length variation, the other factors had little impact on tarsus length, with average effect sizes below 2% and a model effect size of 26% (Table 2).",none_c
Bowen,Bowral-2-2-1,blue tit,"We found no impact of clutch manipulation on hatchling tarsus length at 14 days old (Table 1). We found that tarsus lengths were shorter in year 2003 compared to 2001 (Table 1). Offspring with extra-pair paternity, male offspring, and offspring reared in transplanted nests were associated with larger tarsus (Table 1). While offspring sex accounted for approximately 10% of tarsus length variation, the other factors had little impact on tarsus length, with average effect sizes below 2% and a model effect size of 26% (Table 2).",none_c
Bowen,Bowral-1-1-1,blue tit,"We found an impact of clutch manipulation on hatchling weight at 14 days old, with hatchlings from nests with increased clutch sizes weighing less than hatchling from control nests (Table 3). While there was a trend for hatchlings from 2002 to be smaller than 2001, hatching from 2003 were smaller than 2001 as well as hatchlings whose eggs were laid later in the season (Table 3). Additionally, clutch size in the rearing nests at the start of rearing had a negative relation with hatchling weight. Finally, offspring reared in transplanted nests weighed more than offspring reared in their home nests (Table 3). The magnitude of these changes ranged from 1-9%, with competition parameters (clutch size and nest treatment) having effect sizes of 1-7% while the overall model explained 38% of the variation (Table 4).",neg_c
Bowen,Binnaway-1-1-1,blue tit,"We found an impact of clutch manipulation on hatchling weight at 14 days old, with hatchlings from nests with increased clutch sizes weighing less than hatchling from control nests (Table 3). While there was a trend for hatchlings from 2002 to be smaller than 2001, hatching from 2003 were smaller than 2001 as well as hatchlings whose eggs were laid later in the season (Table 3). Additionally, clutch size in the rearing nests at the start of rearing had a negative relation with hatchling weight. Finally, offspring reared in transplanted nests weighed more than offspring reared in their home nests (Table 3). The magnitude of these changes ranged from 1-9%, with competition parameters (clutch size and nest treatment) having effect sizes of 1-7% while the overall model explained 38% of the variation (Table 4).",neg_c
Bulli,Bright-1-1-1,blue tit,NA,NA
Bulli,Buchan-1-1-1,blue tit,"I conclude that inhibited nestling growth is associated with an increase in sibling competition, but an increase in nestling growth is not as strong associated with a decrease in sibling competition.",neg_q
Bulli,Blackall-1-1-1,blue tit,"I conclude that inhibited nestling growth is associated with an increase in sibling competition, but an increase in nestling growth is not as strong associated with a decrease in sibling competition.",neg_q
